,book_id,user_id,score,time
68,7,24093020,4.0,2013-01-11
69,7,33113614,5.0,2009-05-31
70,8,0,5.0,2001-03-08
71,11,19294655,5.0,2011-03-21
72,8,41015808,4.0,1999-12-20
73,9,0,4.0,1999-09-01
74,9,0,5.0,1999-08-29
75,9,94102141,4.0,2009-04-14
76,10,82249727,5.0,2005-07-15
77,100,70618891,4.0,2005-11-07
78,10,90791907,2.0,2005-03-03
79,11,38021296,5.0,2006-03-31
80,11,51411736,5.0,2006-03-30
81,11,4663892,2.0,2008-04-05
82,11,78409172,5.0,2012-08-06
83,11,87675444,5.0,2011-02-15
84,11,94223037,5.0,2006-03-28
85,11,18919651,5.0,2013-02-16
86,11,2477835,5.0,2013-01-30
87,11,11398626,5.0,2011-12-08
88,12,88919084,3.0,2001-02-06
89,12,0,4.0,2002-03-10
90,13,87683094,5.0,2000-02-03
91,13,0,5.0,1999-08-17
92,13,39850326,3.0,2005-04-16
93,13,64981643,5.0,2008-11-24
94,13,0,4.0,1999-06-01
95,14,36144151,5.0,2006-03-06
96,15,11979219,5.0,2000-01-23
97,16,45990723,3.0,2004-07-21
98,16,9844522,2.0,2005-07-12
99,16,2927908,5.0,2005-10-12
100,16,0,5.0,2003-10-15
101,16,72766905,4.0,2013-01-01
102,16,57545780,5.0,2004-07-27
103,16,40507622,1.0,2008-06-24
104,17,48531781,5.0,1998-06-30
105,17,5819296,5.0,2013-01-10
106,18,51071372,5.0,2012-11-05
107,19,0,5.0,2000-01-29
108,19,55741037,5.0,1999-12-21
109,19,59556863,5.0,2001-02-24
110,19,0,5.0,2004-06-19
111,19,79754031,1.0,2011-07-09
112,19,76128830,5.0,2009-03-10
113,19,20434864,5.0,2005-02-08
114,19,66221190,5.0,2009-06-13
115,20,92294764,5.0,2005-01-10
116,19,70765104,2.0,2012-10-08
117,19,44753391,5.0,2013-01-31
118,19,80441148,5.0,2008-12-09
119,19,92097777,5.0,2008-04-20
120,19,92277584,5.0,2009-06-03
121,22,81079933,5.0,2010-02-08
122,19,74850799,5.0,2009-08-13
123,19,89002758,3.0,2009-05-09
124,19,36090875,5.0,2009-03-31
125,19,60624552,3.0,2008-12-31
126,19,11570822,3.0,2012-10-31
127,19,41635456,5.0,2012-10-31
128,19,20167816,3.0,2012-09-23
129,19,62406466,5.0,2012-06-05
130,19,20144745,4.0,2012-04-26
131,19,63730745,5.0,2012-02-03
132,19,79772065,5.0,2011-04-28
133,19,52003897,5.0,2009-08-29
134,19,51609818,3.0,2010-11-23
135,19,28004692,5.0,2009-05-26
136,20,89219726,5.0,2005-01-13
137,20,96881036,5.0,2005-01-16
138,21,84259469,5.0,2011-03-07
139,21,26064301,5.0,2010-06-05
140,21,83565102,5.0,2008-10-25
141,21,42899448,4.0,2008-04-17
142,21,72356850,5.0,2007-06-02
143,21,0,5.0,2002-12-22
144,21,27989121,1.0,2005-10-04
145,21,61621115,5.0,2006-09-03
146,21,67374174,5.0,2003-03-24
147,21,89066121,5.0,2012-11-27
148,101,92333654,4.0,2012-11-06
149,21,15062333,5.0,2010-07-03
150,21,14097173,3.0,2008-02-08
151,21,95357114,5.0,2007-02-26
152,21,52012624,4.0,2009-03-14
153,21,54095579,5.0,2003-04-28
154,21,91559958,2.0,2008-06-09
155,21,90671262,5.0,2013-02-23
156,21,96177557,4.0,2011-04-04
157,21,42293846,4.0,2004-07-23
158,22,85811870,5.0,2012-09-10
159,21,34458847,5.0,2002-06-05
160,21,94795641,5.0,2005-03-19
161,21,70545344,4.0,2002-10-04
162,21,5570334,3.0,2002-01-31
163,21,14623927,3.0,2001-12-27
164,21,0,5.0,2002-07-22
165,21,0,5.0,2002-01-25
166,21,15108008,3.0,2007-06-22
167,22,0,5.0,1998-11-10
168,22,89431618,5.0,2001-04-30
169,22,21261126,5.0,2008-03-04
170,22,9011800,5.0,2005-02-20
171,22,0,4.0,2001-07-28
172,22,75998151,4.0,2006-11-03
173,22,83775235,5.0,2013-02-25
174,22,88694997,4.0,2013-02-05
175,22,53000580,5.0,2013-01-20
176,22,90786826,5.0,2012-12-09
177,22,41533175,5.0,2012-07-27
178,25,32288135,1.0,2003-08-19
179,23,6382969,4.0,2002-05-03
180,23,78923503,5.0,2001-05-06
181,23,98388482,4.0,2004-01-09
182,23,78923503,5.0,2001-05-06
183,23,2138024,4.0,2010-12-22
184,23,62725875,2.0,2002-02-01
185,24,36608579,5.0,2005-01-24
186,25,0,4.0,2003-08-06
187,25,44738220,5.0,2012-12-03
188,25,0,1.0,2002-01-27
189,26,36612354,5.0,2005-02-13
190,27,62903013,3.0,2003-05-05
191,27,89397889,2.0,2007-10-27
192,28,39616815,5.0,2000-05-15
193,29,87167592,5.0,2004-04-13
194,29,52031161,5.0,2008-12-17
195,29,24630003,5.0,2011-09-09
196,30,0,5.0,2000-12-12
197,30,64181503,3.0,2005-02-23
198,31,93987475,5.0,2004-10-07
199,31,94646467,5.0,2006-10-15
200,31,31242780,5.0,2007-10-22
201,31,18809027,4.0,2011-02-13
202,31,34179744,4.0,2007-05-07
203,31,29803310,5.0,2008-07-31
204,31,6046928,5.0,2013-02-13
205,32,99673757,5.0,2005-02-08
206,31,23735346,5.0,2012-10-22
207,31,25434383,5.0,2012-06-14
208,31,60073472,5.0,2011-10-04
209,31,52991336,5.0,2011-06-26
210,32,0,4.0,2000-10-24
211,32,0,1.0,2000-02-13
212,33,1794340,3.0,2003-06-19
213,33,88008113,4.0,2008-08-04
214,34,0,5.0,1999-05-08
215,34,80438727,5.0,2000-11-12
216,34,67200599,5.0,2000-01-01
217,42,14385328,4.0,2008-06-09
218,34,79538575,4.0,2010-07-22
219,34,80438727,5.0,2009-04-10
220,34,69407949,5.0,2008-11-09
221,34,70768276,5.0,2010-07-25
222,34,2927851,5.0,2012-03-04
223,35,47648054,5.0,2007-11-03
224,35,63870080,1.0,2005-07-25
225,101,22675493,5.0,2012-10-18
226,36,86143085,5.0,2001-09-04
227,37,61154107,4.0,2001-12-05
228,38,54095986,5.0,2003-03-26
229,38,37004643,5.0,2012-11-27
230,39,95484653,4.0,2008-04-28
231,45,0,5.0,2003-10-16
232,39,67694491,1.0,2008-11-18
233,40,4571488,5.0,2007-01-01
234,40,30606794,5.0,2000-06-05
235,40,0,5.0,2000-06-05
236,41,13102418,4.0,2009-09-27
237,42,64264956,5.0,2002-10-22
238,42,0,5.0,2003-01-04
239,42,50985674,4.0,2004-04-22
240,42,22187837,5.0,2003-01-27
241,42,64493343,5.0,2004-07-15
242,42,47164837,5.0,2003-05-17
243,45,0,5.0,2006-05-12
244,42,2284306,5.0,2002-10-22
245,42,77873750,5.0,2008-10-03
246,42,28006210,4.0,2007-01-10
247,42,52716670,5.0,2005-06-20
248,42,37106099,4.0,2008-04-15
249,42,63540485,3.0,2007-07-03
250,42,17045216,5.0,2011-05-25
251,42,17270263,3.0,2002-12-14
252,42,60780993,3.0,2005-05-22
253,42,18774899,2.0,2003-03-24
254,43,30775658,4.0,2006-08-23
255,43,21034581,4.0,2006-08-18
256,45,0,4.0,2005-10-28
257,43,20211579,5.0,2008-03-21
258,43,96321984,2.0,2007-05-11
259,43,40174703,4.0,2012-07-23
260,44,72751786,4.0,1999-08-30
261,44,0,4.0,1998-04-22
262,44,0,4.0,2001-02-25
263,44,40268500,3.0,2011-07-10
264,44,0,5.0,1999-04-30
265,44,97193577,5.0,2003-01-11
266,45,39332132,4.0,2006-04-11
267,45,69940035,5.0,2012-07-20
268,45,29591549,4.0,2008-04-17
269,45,46676220,4.0,2008-04-17
270,45,80315575,5.0,2003-11-06
271,45,59560329,5.0,2006-01-10
272,46,52042359,5.0,2003-04-27
273,45,0,5.0,2003-12-07
274,45,0,5.0,2005-06-08
275,45,0,4.0,2005-10-28
276,45,0,5.0,2004-03-05
277,45,56075348,5.0,2006-06-14
278,45,0,3.0,2004-03-14
279,46,25994353,5.0,2003-03-18
280,46,0,5.0,2003-08-11
281,46,56094564,5.0,2005-10-11
282,46,54303477,5.0,2003-08-05
283,46,62409756,5.0,2003-03-23
284,46,13918795,5.0,2003-03-10
285,46,40232655,5.0,2003-03-06
286,47,76830995,4.0,2009-10-11
287,50,86635412,4.0,2012-12-28
288,47,59716869,5.0,2009-03-17
289,47,85108286,5.0,2007-10-04
290,47,34307918,5.0,2013-02-01
291,47,6904910,5.0,2012-12-29
292,47,87183402,4.0,2012-12-16
293,47,86062510,2.0,2012-12-10
294,47,40700102,4.0,2008-07-03
295,47,4374248,1.0,2011-01-13
296,47,39170213,5.0,1999-04-24
297,47,41739006,5.0,2001-09-19
298,47,33790542,5.0,2005-10-11
299,47,7349281,5.0,2006-03-10
300,47,81125199,5.0,2007-04-01
301,47,92109780,5.0,2008-12-28
302,47,89977424,5.0,2005-08-08
303,47,20300884,1.0,2012-11-11
304,47,85614846,4.0,2008-03-26
305,47,58402338,4.0,2009-12-05
306,48,39113974,4.0,2008-01-03
307,49,40263190,5.0,2000-05-14
308,101,72016800,4.0,2012-10-13
309,49,0,5.0,1998-04-16
310,50,23924493,4.0,2000-04-21
311,50,99986059,5.0,2001-08-28
312,50,79212415,2.0,2004-01-23
313,50,10658046,5.0,2013-02-05
314,50,55613880,5.0,2013-01-15
315,101,41177001,5.0,2012-09-21
316,50,21344113,4.0,2011-01-12
317,51,27633809,4.0,2009-11-26
318,52,72083749,1.0,2004-10-04
319,53,23503998,5.0,2000-03-20
320,53,71530662,5.0,1999-11-29
321,53,44424096,3.0,2012-12-23
322,53,17408124,4.0,2012-08-08
323,54,70881527,5.0,2000-01-15
324,54,45176751,5.0,2000-09-09
325,54,30829756,5.0,2004-05-07
326,54,85016192,5.0,2006-11-02
327,54,70478220,1.0,2003-05-24
328,101,16610419,4.0,2001-03-22
329,54,30788375,4.0,2007-09-01
330,54,34119,4.0,2012-05-29
331,54,42208622,3.0,2007-11-06
332,54,34704049,4.0,2007-05-12
333,54,0,1.0,2004-03-12
334,55,99219380,4.0,2013-02-18
335,56,56290873,5.0,2008-02-16
336,57,44609002,2.0,2000-11-19
337,57,0,1.0,2003-12-21
338,58,60403601,4.0,2007-04-17
339,58,722377,5.0,2006-11-03
340,58,0,5.0,1999-03-15
341,58,63912737,5.0,2010-12-27
342,58,35812422,5.0,2013-01-09
343,58,36244364,5.0,2012-12-25
344,58,67497172,5.0,2012-12-19
345,59,0,4.0,1999-04-29
346,59,91319835,5.0,2011-03-18
347,61,0,5.0,2000-02-11
348,61,0,5.0,2000-05-08
349,61,59422414,5.0,2002-11-05
350,61,0,4.0,2002-11-06
351,61,76920707,4.0,2005-11-15
352,61,54614809,4.0,2000-03-10
353,62,41790606,4.0,2003-01-18
354,62,15730055,5.0,2002-12-29
355,62,14395302,5.0,2006-08-01
356,62,22458561,5.0,2006-11-01
357,62,87167592,5.0,2006-10-15
358,62,78989629,5.0,2006-09-08
359,62,60947592,5.0,2006-08-05
360,62,66549143,5.0,2011-07-18
361,62,25366183,5.0,2007-06-27
362,62,62797319,5.0,2006-08-03
363,62,52502252,2.0,2010-10-07
364,62,19623868,5.0,2006-08-06
365,63,35994732,5.0,2006-05-25
366,63,97246497,5.0,2006-08-31
367,63,80683624,2.0,2007-10-25
368,63,71527995,1.0,2006-08-10
369,63,92187348,1.0,2006-03-15
370,64,20210052,4.0,2010-04-26
371,64,10637452,5.0,2009-04-16
372,64,85516042,5.0,1998-10-11
373,64,35350041,1.0,2010-09-12
374,64,0,4.0,1999-09-21
375,64,0,5.0,2000-05-25
376,64,0,3.0,1999-07-19
377,64,76317487,3.0,1999-10-21
378,64,50379815,4.0,2004-05-16
379,64,0,5.0,1999-06-17
380,64,0,5.0,1998-06-23
381,64,0,3.0,1999-05-22
382,64,0,5.0,1999-04-19
383,64,27293102,4.0,2012-10-27
384,65,81401475,5.0,2003-02-03
385,66,0,5.0,1999-07-11
386,66,90791907,5.0,2007-12-16
387,67,40629660,5.0,2005-09-21
388,66,99253888,4.0,2012-08-27
389,67,80438727,4.0,2004-07-27
390,67,0,4.0,2000-03-08
391,67,78011934,5.0,2000-08-05
392,67,91048432,5.0,2010-06-25
393,68,73439267,5.0,2000-02-07
394,67,22425957,5.0,2008-10-23
395,67,59124869,5.0,2008-04-11
396,67,88687669,5.0,2009-02-04
397,67,6028963,5.0,2007-01-21
398,67,77849632,4.0,2012-08-21
399,67,66113038,5.0,2012-04-15
400,69,49999304,5.0,2006-08-29
401,70,90404581,5.0,2001-09-21
402,70,0,4.0,2003-11-30
403,71,65193083,5.0,2007-09-04
404,72,90582484,5.0,2006-04-14
405,72,87665465,4.0,2011-07-13
406,72,90582484,5.0,2006-04-14
407,72,87665465,4.0,2011-07-13
408,72,90582484,5.0,2006-04-14
409,72,87665465,4.0,2011-07-13
410,73,45792441,5.0,2004-02-11
411,73,0,5.0,1998-01-19
412,73,0,5.0,2003-01-31
413,73,0,3.0,2000-06-08
414,73,39131073,1.0,2007-04-28
415,73,0,5.0,1998-03-15
416,73,0,5.0,1998-03-05
417,73,90232777,5.0,1998-02-09
418,73,0,5.0,1998-01-16
419,73,0,5.0,1998-01-14
420,73,0,5.0,1998-01-11
421,73,0,5.0,1998-01-11
422,73,0,5.0,1998-01-10
423,73,0,5.0,1997-11-26
424,73,0,5.0,1998-09-13
425,73,0,5.0,1997-09-28
426,73,0,5.0,1997-09-16
427,73,0,5.0,2003-03-14
428,73,0,5.0,1999-11-24
429,73,64199040,5.0,2002-12-12
430,73,62674814,5.0,2012-09-18
431,73,45704434,3.0,2010-06-15
432,73,98001845,1.0,2009-12-13
433,73,8074505,5.0,2009-09-27
434,73,0,5.0,1998-07-16
435,73,0,5.0,1998-07-15
436,73,0,5.0,1998-07-07
437,73,0,5.0,1998-06-18
438,73,0,5.0,1998-06-16
439,73,0,5.0,1998-06-14
440,73,0,5.0,1998-06-11
441,73,0,5.0,1998-05-24
442,73,0,5.0,1998-05-24
443,73,0,5.0,1998-05-18
444,73,0,5.0,1997-11-13
445,73,0,5.0,1997-11-07
446,73,83054702,5.0,1997-11-05
447,73,10054028,4.0,2008-01-12
448,73,0,5.0,1997-11-04
449,73,0,5.0,1997-11-04
450,73,0,5.0,1997-10-30
451,73,0,5.0,1997-10-19
452,73,0,5.0,1997-10-12
453,73,0,5.0,1997-09-30
454,73,0,5.0,1997-09-07
455,73,0,4.0,1998-05-12
456,73,0,5.0,1998-05-08
457,73,7316373,5.0,1998-04-12
458,73,0,5.0,1998-04-11
459,73,0,5.0,1998-04-07
460,73,9951705,5.0,1998-04-04
461,73,0,5.0,1998-03-22
462,73,0,5.0,1998-03-18
463,73,0,5.0,1998-03-16
464,73,0,3.0,1998-03-16
465,73,24963650,4.0,2009-06-23
466,73,72149475,4.0,2008-04-24
467,73,68920009,5.0,2006-04-03
468,73,51716288,5.0,2005-06-24
469,73,72757044,4.0,2002-04-29
470,73,80589441,5.0,2000-07-27
471,73,64315027,5.0,2000-07-14
472,73,0,5.0,2000-01-19
473,73,0,5.0,2000-01-09
474,73,55233350,5.0,2000-01-07
475,73,0,5.0,2000-06-20
476,73,74196107,5.0,1999-10-08
477,73,32916352,5.0,2002-06-02
478,73,0,5.0,1997-07-29
479,73,41274074,3.0,2002-04-17
480,73,28730454,4.0,2011-11-29
481,73,26874497,5.0,2003-01-13
482,73,23406567,5.0,2002-03-14
483,73,3166387,5.0,2002-01-03
484,73,0,5.0,1997-06-01
485,73,0,5.0,1997-02-07
486,73,0,4.0,1996-08-07
487,73,88851743,4.0,2002-05-02
488,73,0,4.0,2001-04-19
489,73,0,5.0,1999-11-16
490,73,0,5.0,1998-11-01
491,73,0,5.0,1997-10-07
492,73,14187630,5.0,2002-11-25
493,73,93055422,3.0,1998-04-04
494,73,0,5.0,1998-12-29
495,73,55232885,5.0,1998-12-04
496,73,0,5.0,1998-10-13
497,73,0,5.0,1998-10-11
498,73,0,5.0,1998-09-18
499,73,0,5.0,1998-09-05
500,73,0,4.0,1998-09-03
501,73,0,5.0,1998-08-28
502,73,0,5.0,1998-08-23
503,73,0,4.0,1998-07-26
504,73,0,5.0,1998-03-15
505,73,64378661,5.0,1998-12-11
506,73,0,5.0,1998-09-02
507,73,0,5.0,1998-08-22
508,73,0,5.0,1998-08-07
509,73,0,5.0,1998-07-18
510,73,0,5.0,1998-06-25
511,73,40536266,5.0,1998-01-10
512,73,0,5.0,1997-12-23
513,73,0,5.0,1997-11-22
514,73,0,5.0,1997-08-14
515,73,0,5.0,1997-07-23
516,73,0,5.0,1997-07-20
517,73,0,5.0,1997-07-13
518,73,0,5.0,1997-07-07
519,73,0,5.0,1997-07-01
520,73,0,5.0,1997-07-01
521,73,0,5.0,1997-06-24
522,73,0,5.0,1997-06-14
523,73,0,5.0,1997-06-07
524,73,0,5.0,1999-08-03
525,73,0,5.0,1999-07-03
526,73,90753962,5.0,1999-06-18
527,73,0,5.0,1999-05-28
528,73,0,5.0,1999-05-27
529,73,0,5.0,1999-05-22
530,73,0,5.0,1999-05-21
531,73,0,5.0,1999-05-07
532,73,0,4.0,1999-04-18
533,73,0,5.0,1999-01-13
534,73,251065,5.0,2001-11-10
535,73,79617949,5.0,2001-07-01
536,73,0,5.0,1999-04-25
537,73,81317237,5.0,2001-03-08
538,73,0,5.0,2000-01-22
539,73,0,5.0,1999-11-02
540,73,0,4.0,1999-10-29
541,73,0,5.0,1999-08-13
542,73,0,5.0,1999-05-14
543,73,0,5.0,1998-12-29
544,74,78153170,5.0,2000-07-05
545,74,0,2.0,2003-02-03
546,74,44265295,2.0,2005-01-01
547,74,0,4.0,2003-08-07
548,75,0,2.0,2002-08-10
549,75,0,5.0,1998-07-13
550,75,18151965,5.0,2000-12-18
551,75,63420664,5.0,2008-04-02
552,75,77154251,5.0,2013-01-26
553,75,89215956,4.0,2012-09-22
554,75,75120916,4.0,2003-10-20
555,75,89215956,4.0,2012-09-22
556,75,0,2.0,2002-08-10
557,75,0,2.0,2002-09-03
558,75,0,5.0,1998-07-13
559,75,18151965,5.0,2000-12-18
560,75,63420664,5.0,2008-04-02
561,75,77154251,5.0,2013-01-26
562,75,75120916,4.0,2003-10-20
563,75,0,2.0,2002-08-10
564,75,0,2.0,2002-08-10
565,75,0,2.0,2002-09-03
566,76,94345885,5.0,2005-08-21
567,76,40421584,3.0,2007-08-29
568,76,99258202,4.0,1999-02-10
569,76,40346497,4.0,2002-02-28
570,76,0,5.0,1999-07-08
571,76,41227550,3.0,2004-03-10
572,76,0,1.0,1998-07-09
573,76,45782225,4.0,2003-08-26
574,92,88640312,4.0,2007-05-01
575,76,50488673,4.0,2002-09-11
576,76,0,4.0,1998-07-31
577,76,0,5.0,1997-06-04
578,76,21534038,1.0,2008-07-24
579,76,55469604,5.0,2002-02-20
580,76,61375018,4.0,2001-02-02
581,76,0,4.0,1998-02-11
582,76,41227550,3.0,2004-03-10
583,76,0,1.0,1998-07-09
584,76,45782225,4.0,2003-08-26
585,76,50488673,4.0,2002-09-11
586,76,0,4.0,1998-07-31
587,76,0,5.0,1997-06-04
588,76,21534038,1.0,2008-07-24
589,76,55469604,5.0,2002-02-20
590,76,61375018,4.0,2001-02-02
591,76,0,4.0,1998-02-11
592,77,0,4.0,1999-04-18
593,79,0,1.0,2000-05-08
594,78,87167592,5.0,2000-06-06
595,78,23187782,1.0,2009-06-06
596,79,91646901,5.0,2005-01-21
597,79,1214411,5.0,2010-11-24
598,79,26574746,5.0,2003-10-10
599,79,83262144,3.0,2002-07-04
600,80,25723326,5.0,2000-07-29
601,80,3113116,5.0,2006-01-08
602,81,58009432,5.0,2003-10-19
603,82,11911507,5.0,2012-12-16
604,82,60679938,5.0,2010-09-26
605,82,55694837,4.0,2010-03-27
606,82,47669599,5.0,2009-11-07
607,82,92785136,4.0,2009-05-01
608,82,52912430,4.0,2009-02-28
609,82,41626996,3.0,2008-06-27
610,82,27939945,5.0,2006-03-04
611,82,17882484,4.0,2005-07-20
612,82,90010833,4.0,2005-06-29
613,82,15318734,4.0,2007-09-24
614,82,68707876,5.0,2006-07-12
615,82,76257393,5.0,2006-07-01
616,82,9550361,5.0,2005-08-21
617,82,70960499,5.0,2004-08-27
618,82,45143722,4.0,2004-07-25
619,82,44393925,5.0,2007-04-13
620,82,65850530,4.0,2004-10-22
621,89,21630515,5.0,1999-09-13
622,82,9319277,4.0,2013-01-28
623,82,84779742,5.0,2013-01-09
624,82,57068631,4.0,2005-03-24
625,82,90046915,4.0,2005-01-05
626,82,24989508,1.0,2005-09-26
627,82,78697294,5.0,2004-10-04
628,82,17720403,3.0,2005-11-28
629,82,68560909,5.0,2004-08-12
630,82,37572043,2.0,2005-01-03
631,89,0,5.0,1999-07-13
632,82,36821804,3.0,2005-01-05
633,82,77546862,1.0,2004-10-03
634,82,47033032,5.0,2005-09-01
635,82,86152278,5.0,2004-08-16
636,82,59696226,5.0,2005-03-08
637,82,72980862,4.0,2006-07-15
638,82,63434326,4.0,2005-08-07
639,82,13120750,5.0,2005-11-30
640,82,1398391,2.0,2010-06-17
641,82,13675818,2.0,2008-04-21
642,82,88319787,5.0,2006-03-09
643,82,80234322,5.0,2005-09-30
644,83,51168905,4.0,2004-12-31
645,83,98414500,4.0,2011-01-02
646,84,97008874,5.0,2000-09-30
647,86,24197686,4.0,2011-03-28
648,84,31066059,2.0,2000-02-02
649,84,0,2.0,2000-02-02
650,85,54734424,4.0,2013-01-27
651,86,25131702,5.0,2008-06-30
652,86,31798258,5.0,2008-12-05
653,87,55740676,4.0,2001-07-07
654,86,42521772,5.0,2006-08-18
655,86,5200759,5.0,2010-08-20
656,86,36234567,5.0,2009-08-05
657,86,1837952,5.0,2011-02-28
658,89,0,5.0,1999-02-24
659,86,21303185,4.0,2013-02-27
660,86,23359949,5.0,2013-01-13
661,86,1357866,5.0,2012-12-20
662,86,29073002,5.0,2012-12-17
663,86,55337707,5.0,2012-10-25
664,89,0,5.0,1998-11-19
665,86,39460077,5.0,2012-08-23
666,86,99975175,5.0,2012-03-19
667,86,21525610,5.0,2011-01-17
668,86,76784507,5.0,2010-08-28
669,86,84827364,5.0,2010-06-24
670,87,58504874,5.0,2000-06-16
671,87,62404819,4.0,2008-03-11
672,87,84356193,5.0,2009-11-04
673,87,69609505,5.0,2011-04-01
674,87,19052810,5.0,2010-05-26
675,87,48769345,5.0,2009-10-13
676,87,63299827,3.0,2007-08-04
677,87,21750456,1.0,2012-04-24
678,87,8179429,3.0,2006-07-25
679,88,51218124,5.0,2001-03-20
680,88,82689084,5.0,2009-08-25
681,89,13412624,5.0,2001-10-12
682,89,97617644,5.0,2000-10-28
683,89,59604104,4.0,2000-10-04
684,89,0,5.0,1999-08-30
685,89,0,5.0,1999-08-17
686,89,0,5.0,1999-06-28
687,89,0,5.0,1999-03-02
688,89,30554348,2.0,1999-08-27
689,89,43973016,5.0,2003-01-04
690,89,0,4.0,2002-12-07
691,89,83922936,5.0,2002-09-02
692,89,99927677,5.0,2002-06-06
693,89,75502598,5.0,2002-03-21
694,89,0,5.0,1999-06-24
695,89,59274684,4.0,1999-07-23
696,89,0,5.0,1999-03-02
697,89,0,4.0,2001-01-12
698,89,0,5.0,2002-10-28
699,89,43821550,5.0,2000-01-31
700,89,0,5.0,1999-11-14
701,89,0,5.0,1999-05-17
702,89,98365956,5.0,2000-07-07
703,89,63150270,4.0,2000-01-12
704,89,0,5.0,1999-03-09
705,89,0,3.0,2000-08-13
706,89,7281374,5.0,2000-05-03
707,89,0,5.0,1999-09-01
708,89,11810054,4.0,2001-05-31
709,89,0,5.0,2003-03-03
710,89,0,5.0,2003-03-03
711,89,24407052,4.0,2002-05-20
712,89,0,5.0,2001-09-26
713,89,95534943,5.0,2001-11-13
714,89,70187351,1.0,2000-04-19
715,89,39941857,4.0,2000-08-06
716,89,0,5.0,1998-08-03
717,89,82764519,5.0,2001-08-15
718,89,28309207,5.0,2000-04-09
719,89,34655957,3.0,2002-08-13
720,89,19042090,3.0,2003-01-09
721,89,32976087,5.0,2003-01-06
722,89,15961690,4.0,2002-12-09
723,89,11722041,5.0,2002-01-02
724,89,11810054,5.0,2001-05-09
725,89,61583839,3.0,2001-03-31
726,90,35165231,5.0,2005-10-30
727,91,25913786,5.0,2002-08-04
728,92,81289014,4.0,2008-06-06
729,92,45728941,4.0,2010-05-24
730,93,31521947,3.0,2000-08-07
731,94,42252728,5.0,2006-05-22
732,94,83205405,5.0,2006-01-07
733,94,31140011,5.0,2008-03-29
734,95,28343687,5.0,2004-12-21
735,95,72302751,4.0,2006-07-05
736,96,253,5.0,2003-06-05
737,96,32617443,5.0,2001-07-15
738,96,2194424,5.0,2006-04-07
739,96,30950042,5.0,1997-11-01
740,96,10057661,5.0,2006-02-10
741,96,56504141,5.0,2010-05-12
742,96,56459855,5.0,2012-11-05
743,96,26245511,2.0,2012-02-21
744,96,36283929,5.0,2011-08-04
745,98,93370400,5.0,2012-01-07
746,96,42665139,5.0,2010-08-16
747,96,64076450,4.0,2001-01-11
748,97,20705001,5.0,2006-02-28
749,97,60681272,4.0,2001-02-24
750,98,46460686,5.0,2009-12-07
751,98,90127257,5.0,2012-12-15
752,98,90333149,3.0,2012-05-29
753,98,86023297,4.0,2010-12-22
754,98,2580039,4.0,2011-01-04
755,98,2036825,5.0,2012-04-19
